Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
FER (Forestry and Environmental Resources) Graduate Facility,246A,AR1,South,Raleigh,246a.pdf,,,,3450,1983,34,1,1,716910,,,1,6,2416,2416,207000,1,14,1509 Varsity Dr.
Fertilizer - Storage Shed(Lowcoastal),855P,Q84,Outlying,Kinston,,,,,2615,1939,78,1,1,158151,,,3,1,0,2355,8000,1,14,200 Cunningham Rd.
Fertilizer Bldg(Sandhills),870E,E04,Outlying,Jackson Springs,,,,,1100,1954,63,1,1,113095,,,1,1,0,1050,3000,1,14,2148 Windblow Rd.
Fertilizer Storage (Lowcoastal),855G,Q93,Outlying,Kinston,,,,,1600,1965,52,1,1,164502,,,2,1,0,1519,26500,1,14,200 Cunningham Rd.
Fertilzr/Equip Shed(Upiedmont),860L,Z41,Outlying,Reidsville,,,,,3360,1968,49,1,1,203208,,,3,1,0,2520,20100,1,14,1944 Wentworth Rd.
Finishing House,,,,,,0.17,,,990,,,,,,,,,,,,,,,
Fish House,,,,,,0.24,,,800,,,,,,,,,,,,,,,
Fish House CVM,344,FH1,West,Raleigh,344.pdf,,,,,,,,,,,,,,,,,,,1240 Horse Lane
Fleet Services Facility,126,FSF,Central,Raleigh,126.pdf,,,,12770,1980,37,1,1,2653606,,,2,6,10860,11209,50000,2,14,621 Motor Pool St.
Football Practice Facility,135G,FPF,West,Raleigh,135g.pdf,,,,3434,2003,14,1,1,1232577,,,1,6,2014,2014,745092,1,14,4156 Westchase Blvd.
Forestry Sciences Laboratory - Main Building,954,FSM,Outlying,Durham,954.pdf,,,,,,,,,,,,,,,,,,,3041 E Cornwallis Rd.
Forestry Sciences Laboratory - Office Annex,954A,FSO,Outlying,Durham,954a.pdf,,,,,,,,,,,,,,,,,,,3041 E Cornwallis Rd.
Fort Fisher Hall - Avent Ferry Residence Hall F,271F,AFF,South,Raleigh,271f.pdf,,,,63106,1979,38,2,2,13843260,1881600,94,1,6,41368,41368,1292561,7,14,2112 Avent Ferry Rd.
Fountain Dining Hall,82,DIN,Central,Raleigh,82.pdf,,,,34445,1982,35,1,1,10486311,,,2,6,22224,25266,2897734,2,14,2520 Sullivan Dr.
Fox Science Teaching Laboratory,76,FOX,North,Raleigh,76.pdf,,,,112969,2004,13,1,1,49342756,,,1,6,74929,74929,27297076,5,14,2791 Pillsbury Circle
Frank Thompson Hall,105,TPS,Central,Raleigh,105.pdf,,,,62058,1925,92,1,1,18765904,,,3,3,32496,32496,410000,5,14,"2241 Dunn Ave., 210 Jensen Dr."
Freshwater Fish House CVM,341,VTN,West,Raleigh,341.pdf,0.12,,,2169,,,,,,,,,,,,,,,1241 Horse Lane
Friday Institute,792B,FIW,Centennial,Raleigh,792b.pdf,0.01,,,36986,2005,12,1,1,13540508,,,1,6,20601,20601,5824000,3,14,1890 Main Campus Dr.
Garden Shed Millstone 4-H Camp,866B,MGB,Outlying,Ellerbe,,,,,102,1937,80,1,5,14188,,,3,1,0,97,,1,14,1040 Mallard Dr.
Gardner Hall,67,GA,North,Raleigh,67.pdf,0.27,,,106455,1952,65,1,1,51506958,69704,6,4,5,68571,69067,2952000,5,14,100 Derieux Pl.
Gateway Technology Center,960E,GTC,Outlying,Rocky Mount,960e.pdf,,,,,,,,,,,,,,,,,,,3400 N. Wesleyan Blvd.
GE Tobacco - Greenhouse Building #67 - Clayton,807U,G67,Outlying,Clayton,807u.pdf,,,,,,,,,,,,,,,,,,,13223 US 70 West
Gestation Breeding House - CVM,320,VTT,West,Raleigh,320.pdf,0.18,,,1872,,,,,,,,,,,,,,,1131 Ruminant Lane
Gilt/Boar Building Rprl CVM,134E,RPE,West,Raleigh,134e.pdf,,,,875,1979,38,1,1,93767,,,1,1,809,809,3800,1,14,1400 Blue Ridge Rd.
Girls Area Water Heater Bldg - Swannanoa 4-H Camp,801U,SWU,Outlying,Swannanoa,,,,,49,1936,81,1,1,4149,,,3,1,0,42,2330,1,14,170 Woodland Dr.
Girls Bath House Millstone 4-H Camp,864N,MCN,Outlying,Ellerbe,,,,,669,1952,65,1,5,10701718,,,2,1,602,602,,1,14,1040 Mallard Dr.
Girls Bathhouse Site 1 (Anita Alta 4-H Outpost Camp),827H,AAH,Outlying,Lenoir,,,,,72,1980,37,1,1,14369,,,3,1,0,68,1588,1,14,Anita Alta 4-H Outpost Camp
Girls Toilet Bldg Site 2 (Anita Alta 4-H Outpost Camp),827T,AAT,Outlying,Lenoir,,,,,112,1980,37,1,1,22352,,,3,1,0,101,2470,1,14,Anita Alta 4-H Outpost Camp
Gold Residence Hall,12,GOL,North,Raleigh,12.pdf,,,,11703,1930,87,2,1,3538905,204420,7,2,6,0,7982,104000,4,14,70 Pullen Dr.
Gray Hall-Wolf Village Apartments Bldg G,222G,WVG,Central,Raleigh,222g.pdf,,,,61493,2004,13,2,1,12349038,,,1,6,36517,36517,7562025,6,14,2730 Wolf Village Way
Greek 1 - Lambda Chi Alpha,141,FRA,South,Raleigh,141.pdf,,,,9267,1964,53,2,2,1448011,128000,88,2,6,2444,6109,150000,3,14,2613 Fraternity Ct.
Greek 11 - Kappa Sigma,151,FRK,South,Raleigh,151.pdf,,,,9172,1964,53,3,2,1455494,128000,88,2,6,2770,6393,150000,2,14,2701 Fraternity Ct.
Greek 12 - Chi Psi,152,FRL,South,Raleigh,152.pdf,,,,9356,1964,53,2,2,1383469,125000,95,2,6,2788,6384,150000,2,14,2619 Fraternity Ct.
Greek 13-14 Kappa Alpha Theta/Pi Beta Phi,155,SOR,South,Raleigh,155.pdf,,,,16642,1976,41,2,2,3611787,197224,98,2,6,8324,11823,360000,3,14,2709 Fraternity Ct.
Greek 15 Sigma Alpha Epison,154,F14,South,Raleigh,154.pdf,,,,2580,1936,81,2,2,411968,59829,97,3,6,5,2086,2000,1,14,1402 Varsity Dr.
Greek 2 Sigma Kappa,142,FRB,South,Raleigh,142.pdf,,,,10924,1964,53,2,2,1996757,125000,95,2,6,2827,7399,150000,3,14,2601 Fraternity Ct.
Greek 252A-Sigma Nu,252A,G2A,South,Raleigh,252a.pdf,,,,,,,,,,,,,,,,,,,2312 Greek Village Dr.
Greek 252C-Kappa Delta,252C,G2C,South,Raleigh,252c.pdf,,,,,,,,,,,,,,,,,,,2304 Greek Village Dr.
Greek 3 Kappa Alpha Order,143,FRC,South,Raleigh,143.pdf,,,,11008,1964,53,2,2,1911541,125000,95,1,6,2545,5917,150000,2,14,2511 Fraternity Ct.
Greek 4 Delta Zeta,144,FRD,South,Raleigh,144.pdf,,,,11107,1964,53,2,2,3868301,153600,88,2,6,5633,8160,150000,3,14,2501 Fraternity Ct.
GREEK 5 PHI GAMMA DE,145,,,,,,,,11462,1964,53,2,2,1529825,125000,95,2,6,4064,7533,150000,2,14,
Greek 7 Sigma Phi Epsilon,147,FRG,South,Raleigh,147.pdf,,,,15916,1964,53,2,2,2387601,129600,88,1,6,5419,11243,150000,2,14,2313 Fraternity Ct.
Greek 8 Alpha Delta Pi,148,FRH,South,Raleigh,148.pdf,,,,9821,1964,53,2,2,2651974,163940,99,2,6,2979,6664,150000,3,14,2309 Fraternity Ct.
Greenhouse - Piedmont Research Station,890,G1S,Outlying,Salisbury,890.pdf,,,,,,,,,,,,,,,,,,,8350 Sherrills Ford Rd.
Greenhouse # 435,435,GH0,West,Raleigh,435.pdf,,,,2880,1996,21,1,1,522535,,,1,1,0,2736,40000,1,14,4301 Beryl Rd.
Greenhouse 411,,,,,,0.09,,,899,,,,,,,,,,,,,,,
Greenhouse 412,,,,,,0.13,,,908,,,,,,,,,,,,,,,
Greenhouse 413,,,,,,0.09,,,899,,,,,,,,,,,,,,,
Greenhouse 414,,,,,,0.14,,,899,,,,,,,,,,,,,,,
Greenhouse 415,,,,,,0.1,,,899,,,,,,,,,,,,,,,
Greenhouse 416,,,,,,0.09,,,899,,,,,,,,,,,,,,,
Greenhouse 417,,,,,,0.12,,,899,,,,,,,,,,,,,,,
Greenhouse 418,,,,,,0.13,,,899,,,,,,,,,,,,,,,
Greenhouse 420,,,,,,0.05,,,426,,,,,,,,,,,,,,,
Greenhouse 421,,,,,,0.17,,,426,,,,,,,,,,,,,,,
Greenhouse 422,,,,,,0.22,,,426,,,,,,,,,,,,,,,
Greenhouse 423,,,,,,0.17,,,426,,,,,,,,,,,,,,,
Greenhouse 424,,,,,,0.21,,,426,,,,,,,,,,,,,,,
Greenhouse 430,,,,,,0.03,,,2225,,,,,,,,,,,,,,,
Greenhouse 431,,,,,,0.06,,,1488,,,,,,,,,,,,,,,
Greenhouse 432,,,,,,0.04,,,2225,,,,,,,,,,,,,,,
Greenhouse 433,,,,,,0.02,,,2217,,,,,,,,,,,,,,,
Greenhouse 434,,,,,,0.05,,,1196,,,,,,,,,,,,,,,
Greenhouse 435,,,,,,0.01,,,2880,,,,,,,,,,,,,,,
Greenhouse 450,,,,,,0.16,,,336,,,,,,,,,,,,,,,
Greenhouse 451,,,,,,0.35,,,336,,,,,,,,,,,,,,,
Greenhouse 452,,,,,,0.35,,,336,,,,,,,,,,,,,,,
Greenhouse 453,,,,,,0.25,,,336,,,,,,,,,,,,,,,
Greenhouse 454,,,,,,0.12,,,336,,,,,,,,,,,,,,,
Greenhouse 457,,,,,,0.01,,,1793,,,,,,,,,,,,,,,
Greenhouse 641,,,,,,0.19,,,160,,,,,,,,,,,,,,,
Greenhouse A Unity 4 At Method,174A,GEE,Central,Raleigh,174a.pdf,,,,6072,1983,34,1,1,1184594,,,1,6,5082,5082,468824,1,14,3141 Ligon St.
Greenhouse B Unit 4 At Method,174B,G4B,Central,Raleigh,174b.pdf,,,,3424,2011,6,1,1,44232,,,1,1,3273,3273,25000,1,14,Ligon St.
Greenhouse Control Room,461,GRC,West,Raleigh,461.pdf,0.54,,,49,1975,42,1,1,5926,,,1,1,0,36,2880,1,14,4301 Beryl Rd.
Greenhouse UFL 411,411,GRH,West,Raleigh,411.pdf,,,,899,1976,41,1,1,162385,,,2,1,884,884,7300,1,14,4301 Beryl Rd.
Greenhouse UFL 412,412,GR1,West,Raleigh,412.pdf,,,,908,1976,41,1,1,165106,,,2,1,892,892,7300,1,14,4301 Beryl Rd.
Greenhouse UFL 413,413,GR2,West,Raleigh,413.pdf,,,,899,1976,41,1,1,162385,,,2,1,884,884,7300,1,14,4301 Beryl Rd.
Greenhouse UFL 414,414,GR3,West,Raleigh,414.pdf,,,,899,1976,41,1,1,162385,,,2,1,884,884,7300,1,14,4301 Beryl Rd.
Greenhouse UFL 415,415,GR4,West,Raleigh,415.pdf,,,,899,1976,41,1,1,162385,,,2,1,884,884,7300,1,14,4301 Beryl Rd.
Greenhouse UFL 416,416,GR5,West,Raleigh,416.pdf,,,,899,1976,41,1,1,162385,,,2,1,884,884,7300,1,14,4301 Beryl Rd.
Greenhouse UFL 417,417,GR6,West,Raleigh,417.pdf,,,,899,1976,41,1,1,163111,,,2,1,0,884,7300,1,14,4301 Beryl Rd.
Greenhouse UFL 418,418,GR7,West,Raleigh,418.pdf,,,,899,1976,41,1,1,162385,,,2,1,884,884,7300,1,14,4301 Beryl Rd.
Greenhouse UFL 420,420,GR8,West,Raleigh,420.pdf,,,,426,1976,41,1,1,78926,,,2,1,411,411,6200,1,14,4301 Beryl Rd.
Greenhouse UFL 421,421,GR9,West,Raleigh,421.pdf,,,,426,1976,41,1,1,78926,,,2,1,411,411,6200,1,14,4301 Beryl Rd.
Greenhouse UFL 422,422,G10,West,Raleigh,422.pdf,,,,426,1976,41,1,1,78926,,,2,1,411,411,6200,1,14,4301 Beryl Rd.
Greenhouse UFL 423,423,G11,West,Raleigh,423.pdf,,,,426,1976,41,1,1,78926,,,2,1,411,411,6200,1,14,4301 Beryl Rd.
Greenhouse UFL 424,424,G12,West,Raleigh,424.pdf,,,,426,1976,41,1,1,78926,,,2,1,411,411,6200,1,14,4301 Beryl Rd.
Greenhouse UFL 430,430,G16,West,Raleigh,430.pdf,,,,2225,2010,7,1,1,342870,,,1,1,0,2164,6800,1,14,4301 Beryl Rd.
Greenhouse UFL 431,431,G13,West,Raleigh,431.pdf,,,,1488,1964,53,1,1,268344,,,2,1,0,1448,6800,1,14,4301 Beryl Rd.
Greenhouse UFL 432,432,G14,West,Raleigh,432.pdf,,,,2225,1964,53,1,1,399159,,,2,1,0,2164,6800,1,14,4301 Beryl Rd.
Greenhouse UFL 433,433,G15,West,Raleigh,433.pdf,,,,2217,1964,53,1,1,406416,,,2,1,0,2136,6800,1,14,4301 Beryl Rd.
Greenhouse UFL 434,434,G16,West,Raleigh,434.pdf,,,,1196,1964,53,1,1,216997,,,2,1,0,1133,6800,1,14,4301 Beryl Rd.
Greenhouse UFL 450,450,G17,West,Raleigh,450.pdf,,,,336,1982,35,1,1,60963,,,2,1,317,317,3500,1,14,4301 Beryl Rd.
Greenhouse UFL 451,451,G18,West,Raleigh,451.pdf,,,,336,1988,29,1,1,60963,,,1,1,317,317,6000,1,14,4301 Beryl Rd.
Greenhouse UFL 452,452,G19,West,Raleigh,452.pdf,,,,336,1982,35,1,1,60963,,,2,1,317,317,1500,1,14,4301 Beryl Rd.
Greenhouse UFL 453,453,G20,West,Raleigh,453.pdf,,,,336,1988,29,1,1,60963,,,1,1,317,317,6000,1,14,4301 Beryl Rd.
Greenhouse UFL 454,454,G21,West,Raleigh,454.pdf,,,,336,1982,35,1,1,60963,,,2,1,317,317,3500,1,14,4301 Beryl Rd.
Greenhouse UFL 457,457,G24,West,Raleigh,457.pdf,,,,1793,1985,32,1,1,325314,,,2,1,1763,1763,8200,1,14,4301 Beryl Rd.
Greenhouse UFL 641,641,G50,South,Raleigh,641.pdf,,,,160,1992,25,1,1,24936,,,2,1,0,134,12000,1,14,1260 Varsity Dr.
Greenhouse Unit 1 At Method,171A,GN1,Central,Raleigh,171a.pdf,0.02,,,5663,1981,36,1,1,1027471,,,1,5,5503,5503,223405,1,14,830 Method Rd.
Greenhouse Unit 1 At Method,171B,GN2,Central,Raleigh,171b.pdf,0.01,,,5663,1981,36,1,1,1027471,,,1,5,5599,5599,223405,1,14,830 Method Rd.
Greenhouse Unit 1 At Method,171C,GN3,Central,Raleigh,171c.pdf,0.01,,,5663,1981,36,1,1,1027471,,,1,5,5599,5599,223405,1,14,830 Method Rd.
Greenhouse Unit 1 At Method,171D,GN4,Central,Raleigh,171d.pdf,0.01,,,5016,1981,36,1,1,867444,,,1,5,4687,4687,188611,1,14,830 Method Rd.
Greenhouse Unit 2 At Method,172A,GHA,Central,Raleigh,172a.pdf,0.03,,,7732,1969,48,1,1,1422456,,,2,5,5352,6658,103018,1,14,840 Method Rd.
Greenhouse Unit 2 At Method,172B,GHB,Central,Raleigh,172b.pdf,0.02,,,8197,1969,48,1,1,1512993,,,2,5,4885,6865,109575,1,14,840 Method Rd.
Greenhouse Unit 2 At Method,172C,GHC,Central,Raleigh,172c.pdf,0.02,,,8175,1969,48,1,1,1512993,,,2,5,1740,6921,109575,1,14,840 Method Rd.
Greenhouse Unit 2 Mech. Building,,,,,,-,,,1533,,,,,,,,,,,,,,,
Greenhouse Unit 3 At Method,173A,GS1,Central,Raleigh,173a.pdf,0,,,9299,1981,36,1,1,5203178,,,1,6,2054,7864,514564,1,14,3131 Ligon St.
Greenhouse Unit 3 At Method,173B,GS2,Central,Raleigh,173b.pdf,0.01,,,10628,1981,36,1,1,1927574,,,1,6,5418,9198,595050,1,14,3131 Ligon St.
Greenhouse Unit 3 At Method,173C,GS3,Central,Raleigh,173c.pdf,0.01,,,9657,1981,36,1,1,1752125,,,1,6,3318,8442,543801,1,14,3131 Ligon St.
Greenhouse Unit 4,,,,,,-,,,3424,,,,,,,,,,,,,,,
Greenhouse Unit 4,,,,,,0,,,6073,,,,,,,,,,,,,,,
Gregg Museum of Art & Design,1,GRM,North,Raleigh,1.pdf,,,,8424,1930,87,1,1,3240240,141293,99,2,6,0,6506,579455,3,14,1903 Hillsborough St.
Grinnells Lab,118,GRL,Central,Raleigh,118.pdf,0.2,,,28128,1953,64,1,1,13341578,221294,2,2,5,17884,18386,247000,2,14,3200 Faucette Dr.
Grounds Shop - CVM,306,GSV,West,Raleigh,306.pdf,,,,,,,,,,,,,,,,,,,1121 Ruminant Lane
Grove Hall- Wolf Ridge-Building 5,780E,WR5,Centennial,Raleigh,780e.pdf,,,,63105,2014,3,2,1,12468001,,,1,6,39063,39063,12000000,5,14,371 Initiative Way
Handicraft Shelter Millstone 4-H Camp,864R,MCR,Outlying,Ellerbe,,,,,540,1952,65,1,5,60066,,,2,1,513,513,,1,14,1040 Mallard Dr.
HARRELSON HALL,56,,,,,,,,131477,1961,56,1,1,39860010,156247,2,4,6,80027,80472,1990000,4,14,
Harris Hall,90,HRH,Central,Raleigh,90.pdf,0.27,,,23097,1963,54,1,1,8395588,94266,2,3,6,15998,15998,557000,2,14,2831 Thurman Dr.
Hay Shed Millstone 4-H Camp,866A,MHA,Outlying,Ellerbe,,,,,1164,1937,80,1,5,161914,,,2,1,0,1106,,1,14,1040 Mallard Dr.
Hay Shed(Upiedmont),860K,Z40,Outlying,Reidsville,,,,,1040,1950,67,1,1,62898,,,5,1,0,780,1500,1,14,1944 Wentworth Rd.
Hay Shed(Upiedmont),860N,Z43,Outlying,Reidsville,,,,,2880,1972,45,1,1,174178,,,4,1,0,2160,3000,1,14,1944 Wentworth Rd.
Haywood Park,960J,HPA,Outlying,Asheville,960j.pdf,,,,,,,,,,,,,,,,,,,46 Haywood St.
Hazardous Storage North (Cunningham),856N,HZN,Outlying,Kinston,856n.pdf,,,,,,,,,,,,,,,,,,,200 Cunningham Road
Hazardous Storage South (Cunningham),856P,HZS,Outlying,Kinston,856p.pdf,,,,,,,,,,,,,,,,,,,200 Cunningham Road
Hazardous Waste Facility CVM,332,HWF,West,Raleigh,332.pdf,,,,,,,,,,,,,,,,,,,4831 Terry Curtin Dr.
Headhouse Unit 1 At Method,171,GH1,Central,Raleigh,171.pdf,0.3,,,8894,1981,36,1,1,1870276,,,1,5,4458,4817,375288,1,14,830 Method Rd.
Headhouse Unit 2,,,,,,0.2,,,15071,,,,,,,,,,,,,,,
Headhouse Unit 2 At Method,172,GH2,Central,Raleigh,172.pdf,,,,15071,1969,48,1,1,3965941,,,2,5,8958,9514,200989,2,14,840 Method Rd.
Headhouse Unit 3 At Method,173,GH3,Central,Raleigh,173.pdf,0.17,,,16058,1981,36,1,1,2710288,,,1,6,9447,9447,836677,2,14,3131 Ligon St.
Headhouse Unit 4 At Method,174,GH4,Central,Raleigh,174.pdf,0.12,,,11476,1983,34,1,1,2154550,,,1,6,7078,7078,930050,2,14,3141 Ligon St.
Hedges Wood Prod. Storage Central,,,,,,-,,,356,,,,,,,,,,,,,,,
Hedges Wood Prod. Storage North,,,,,,0.12,,,1129,,,,,,,,,,,,,,,
Hein Drive Warehouse,994,HDB,Outlying,Garner,994.pdf,,,,,,,,,,,,,,,,,,,143 Hein Dr.
Herdsman's House - UFL D25,819B,HMH,Lake Wheeler Site,Raleigh,819b.pdf,,,,1550,1974,43,2,1,184776,,,2,6,0,1408,18869,1,14,4327 Inwood Rd.
High House Millstone 4-H Camp,865W,HIG,Outlying,Raleigh,,,,,50,1994,23,1,1,7789,,,1,1,0,0,6667,1,14,1040 Mallard Dr.
Hillsborough Building,48,HLB,North,Raleigh,48.pdf,0.35,,,41287,1948,69,1,1,11245465,395342,2,4,6,26670,26769,530000,5,14,2620 Hillsborough St.
Hodges Wood Prod Stor Central,114A,HWC,Central,Raleigh,114a.pdf,0.09,,,2207,1982,35,1,1,64592,,,2,1,307,307,9000,1,14,411 Dan Allen Dr.
Hodges Wood Prod Stor East,114C,HWE,Central,Raleigh,114c.pdf,,,,2207,1968,49,1,1,226909,,,3,1,2051,2051,13000,1,14,411 Dan Allen Dr.
Hodges Wood Prod Stor North,114B,HWN,Central,Raleigh,114b.pdf,,,,1129,1982,35,1,1,116076,,,2,1,1037,1037,28225,1,14,411 Dan Allen Dr.
Hodges Wood Products,114,HWP,Central,Raleigh,114.pdf,0.12,,,20216,1958,59,1,1,7666615,345478,5,2,5,18511,18511,251000,1,14,411 Dan Allen Dr.
Holladay Hall,3,HOL,North,Raleigh,3.pdf,0.45,,,29810,1889,128,1,1,10864771,318874,7,4,6,17024,17024,203000,4,14,20 Watauga Club Dr.
Honors Village Commons,110A,HVC,Central,Raleigh,110a.pdf,,,,9378,2005,12,2,1,3938718,,,1,6,4573,4573,3000000,2,14,2221 Dunn Ave.
Horse Stables #1 Millstone 4-H Camp,864E,MCE,Outlying,Ellerbe,,,,,2000,1938,79,1,5,241915,,,3,1,0,1900,,1,14,1040 Mallard Dr.
Horse Stables #2 Millstone 4-H Camp,864F,MCF,Outlying,Ellerbe,,,,,2000,1938,79,1,5,241915,,,3,1,0,1900,,1,14,1040 Mallard Dr.
Horse Stables #3 Millstone 4-H Camp,864G,MCG,Outlying,Ellerbe,,,,,2000,1938,79,1,5,241915,,,3,1,0,1900,,1,14,1040 Mallard Dr.
Horse Stables #4 Millstone 4-H Camp,864H,MCH,Outlying,Ellerbe,,,,,2000,1938,79,1,5,241915,,,3,1,0,1900,,1,14,1040 Mallard Dr.
Horse Stables #5 Millstone 4-H Camp,864J,MCJ,Outlying,Ellerbe,,,,,2000,1938,79,1,5,241915,,,3,1,0,1900,,1,14,1040 Mallard Dr.
Horse Stables #6 Millstone 4-H Camp,864K,MC0,Outlying,Ellerbe,,,,,2000,1938,79,1,5,241915,,,3,1,0,1900,,1,14,1040 Mallard Dr.
Horse Stables At Betsy Jeff Penn 4-H Camp,816B,BJB,Outlying,Reidsville,,,,,2150,1964,53,1,1,221048,,,3,1,0,1935,64500,1,14,804 Cedar Lane
Horticulture Building At Arboretum,442A,HB1,West,Raleigh,442a.pdf,0.03,,,1307,2008,9,1,1,199195,,,1,6,1182,1182,156840,1,14,4301 Beryl Rd.
Horticulture Field Lab Hammer Mill Shed,438,HMS,West,Raleigh,438.pdf,,,,1230,2014,3,1,1,48060,,,1,1,0,1211,46255,1,14,4301 Beryl Rd.
Horticulture Greenhouse A,444A,HGA,West,Raleigh,444a.pdf,0.02,,,10000,2002,15,1,1,1814358,,,1,6,0,9865,1110000,1,14,3251 Beryl Rd.
Horticulture Greenhouse B,444B,HGB,West,Raleigh,444b.pdf,0.01,,,10169,2002,15,1,1,1814358,,,1,6,0,9867,1110000,1,14,3249 Beryl Rd.
Horticulture Headhouse,444,HHH,West,Raleigh,444.pdf,0.04,,,6235,2002,15,1,1,997897,,,1,6,4586,4586,577500,1,14,3247 Beryl Rd.
Horticulture Shed UFL 441,441,HS,West,Raleigh,441.pdf,0.01,,,5040,1982,35,1,1,518180,,,2,1,0,4810,1200,1,14,4301 Beryl Rd.
Horticulture Storage Trailer,492,HST,West,Raleigh,,0.13,,,179,1990,27,1,1,24191,,,1,6,0,146,15000,1,14,4301 Beryl Rd.
Horticulture Storage UFL 439,439,HSB,West,Raleigh,439.pdf,0.01,,,2016,1980,37,1,1,207272,,,2,1,0,1970,15120,1,14,4301 Beryl Rd.
HQ Raleigh,926,HQR,Outlying,Raleigh,926.pdf,,,,,,,,,,,,,,,,,,,310 S. Harrington St.
Hudson Hall-Wolf Village Apartments Bldg H,222H,WVH,Central,Raleigh,222h.pdf,,,,61678,2004,13,2,1,12349038,,,1,6,36897,36897,7562025,6,14,2760 Wolf Village Way
Ice Room/Storage Building(Lowcoastal),855I,Q91,Outlying,Kinston,,,,,575,1962,55,1,1,59118,,,1,1,0,519,6500,1,14,200 Cunningham Rd.
Implement Storage Shed #68 Soybean Shelter - Clayton,807V,S68,Outlying,Clayton,807v.pdf,,,,,,,,,,,,,,,,,,,13223 US 70 West
Implement Storage Shed #72 Second Soybean - Clayton,807S,J50,Outlying,Clayton,807s.pdf,,,,,,,,,,,,,,,,,,,13223 US 70 West
Information Center,17,IC,North,Raleigh,17.pdf,,,,65,1984,33,1,1,73714,,,1,1,0,38,35000,1,14,2220 Katharine Stinson Dr.
Inmate Hut(Lowcoastal),855J,Q90,Outlying,Kinston,,,,,325,1962,55,1,1,33414,,,2,1,0,293,5000,1,14,200 Cunningham Rd.
Innovation Hall-Wolf Ridge-Building 3,780C,WR3,Centennial,Raleigh,780c.pdf,,,,90840,2014,3,2,1,18182501,,,1,6,59238,59386,17500000,6,14,381 Initiative Way
Irrigation Pump House (Cunningham),856Q,PHC,Outlying,Kinston,856q.pdf,,,,,,,,,,,,,,,,,,,200 Cunningham Road
Irrigation Pump Shed - Fletcher,850P,Z16,Outlying,Fletcher,,,,,480,1985,32,1,1,40642,,,1,1,0,0,2350,1,14,2000 Fanning Bridge Rd.
Irrigation Pumphouse 1 (Sandhills),871D,SI1,Outlying,Jackson Springs,871d.pdf,,,,,,,,,,,,,,,,,,,2148 Windblow Rd.
Irrigation Pumphouse 2 (Sandhills),871C,SI2,Outlying,Jackson Springs,871c.pdf,,,,,,,,,,,,,,,,,,,2148 Windblow Rd.
J.W. Isenhour Tennis Center,158A,JWT,Central,Raleigh,158a.pdf,,,,34251,2004,13,1,1,4441852,,,1,6,30826,30826,2720000,1,14,1080 Varsity Dr.
James B Hunt Jr Centennial Campus Library,783A,JHL,Centennial,Raleigh,783a.pdf,-,Silver,2013,253028,2012,5,1,1,107395119,,,1,6,159298,159298,103363925,6,14,1070 Partners Way
JC Raulston Arboretum Lath House(Shade Structure),446D,LH1,West,Raleigh,446d.pdf,0.01,,,1510,2010,7,3,1,199578,,,1,1,6527,6527,146460,1,14,4415 Beryl Rd.
Jordan Addition,,,,,,0.02,,,55772,,,,,,,,,,,,,,,
Jordan Hall,58,JOR,Central,Raleigh,58.pdf,0.05,,,114443,1989,28,1,1,39451706,,,2,6,63542,63588,11495000,8,14,2800 Faucette Dr.
Jordan Hall Addition,058A,JHA,Central,Raleigh,58a.pdf,,,,,,,,,,,,,,,,,,,2720 Faucette Dr.
JORDAN HALL ADDITION,58A,,,,,,,,57853,2007,10,1,1,21038243,,,1,6,27427,27507,14000000,8,14,
Joyner Visitor Center,132,JVC,South,Raleigh,132.pdf,0,,,28074,2005,12,1,1,7470655,,,1,6,16150,16220,4305815,3,14,1210 Varsity Dr.
Kamphoefner Hall,011A,KAM,North,Raleigh,11a.pdf,0.24,,,43951,,,,,,,,,,,,,,,2221 Katharine Stinson Dr.
KAMPHOEFNER HALL,11A,,,,,,,,43951,1978,39,1,1,17120571,187388,99,3,6,18963,18963,2200000,5,14,
Keystone Science Center,759A,KS1,Centennial,Raleigh,759a.pdf,,,,44999,2010,7,1,4,14026188,,,1,6,36286,36286,,2,14,1791 Varsity Dr.
Kilgore Hall,69,KI,North,Raleigh,69.pdf,0.34,,,54112,1952,65,1,1,16363088,229154,2,2,6,33343,33343,761000,4,14,2721 Founders Dr.
King Village Beaufort Hall P,127P,KVP,Central,Raleigh,127p.pdf,,,,46264,1959,58,2,1,8297059,,,3,6,5911,23259,286000,3,14,3820 Jackson St.
King Village Bertie Hall K,127K,KVK,Central,Raleigh,127k.pdf,,,,9821,1959,58,2,1,3039050,,,3,6,3196,6427,105600,2,14,3840 Jackson St.
King Village Bladen Hall I,127I,KVI,Central,Raleigh,127i.pdf,,,,9821,1959,58,2,1,3039050,,,3,6,3196,6427,105600,2,14,3920 Jackson St.
King Village Carteret Hall L,127L,KVL,Central,Raleigh,127l.pdf,,,,7958,1959,58,2,1,2434264,,,3,6,2752,5539,83600,2,14,3830 Jackson St.
King Village Chowan Hall A,127A,KVA,Central,Raleigh,127a.pdf,,,,9821,1959,58,2,1,1578192,,,3,6,3231,6427,105600,2,14,2911 Ligon St.
