Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
CALS Booth Field Leaning Laboratory-Lake Wheeler,814X,W05,Lake Wheeler Site,Raleigh,814x.pdf,,,,4757,2005,12,1,1,719852,,,1,5,3228,3228,544990,1,14,4000 Chi Rd.
CALS Breed/Gestation UFL 2115-Lake Wheeler,813W,X97,Lake Wheeler Site,Raleigh,,,,,4639,1989,28,1,1,280560,,,1,1,4407,4407,110000,1,14,3901 Inwood Rd.
CALS Breeze Farm House- Bahama,844A,BFH,Outlying,Hillsborough,844a.pdf,,,,2753,1921,96,2,1,387183,,,2,6,0,2473,48500,2,14,4909 Walnut Grove Church Rd.
CALS Broiler Breeder UFL 275-Lake Wheeler,812P,X65,Lake Wheeler Site,Raleigh,,,,,4012,1986,31,1,1,1941121,,,1,1,3872,3872,97857,1,14,4605 Broiler Rd.
CALS Brood Stock Bldg - Lake Wheeler,815V,BS1,Lake Wheeler Site,Raleigh,815v.pdf,,,,4000,2007,10,1,1,1041442,,,1,1,0,3831,172200,1,14,3911 Inwood Rd.
CALS Brood Stock Rearing UFL 811-Aurora,849K,BSR,Outlying,Aurora,849k.pdf,,,,1920,2001,16,1,1,1161188,,,1,1,1842,1842,98000,1,14,2002 Hickory Point Rd.
CALS Bubl Storage Bldg #4 - Castle Hayne,880M,M05,Outlying,Castle Hayne,,,,,1210,1968,49,1,1,124404,,,3,6,0,1152,42500,1,14,3800 Castle Hayne Rd.
CALS Bulk Tobacco Barn #1 - Kinston,856C,LC1,Outlying,Kinston,,,,,270,1999,18,1,1,17188,,,1,1,0,243,12930,1,14,200 Cunningham Rd.
CALS Bulk Tobacco Barn #2 - Kinston,856D,LC2,Outlying,Kinston,,,,,270,1999,18,1,1,27760,,,1,1,0,243,12930,1,14,200 Cunningham Rd.
CALS Bulk Tobacco Barn #3 - Kinston,856E,LC3,Outlying,Kinston,,,,,270,1999,18,1,1,27760,,,1,1,0,243,12930,1,14,200 Cunningham Rd.
CALS Bulk Tobacco Barn #4 - Kinston,856F,LC4,Outlying,Kinston,,,,,270,1999,18,1,1,27760,,,1,1,0,243,12930,1,14,200 Cunningham Rd.
CALS Bulk Tobacco Barn #5,856G,LC5,Outlying,Kinston,,,,,270,1999,18,1,1,27760,,,1,1,0,243,12930,1,14,200 Cunningham Rd.
CALS Bulk Tobacco Barn #6,856H,LC6,Outlying,Kinston,,,,,270,1999,18,1,1,27760,,,1,1,0,243,12930,1,14,200 Cunningham Rd.
CALS Bull Shelter UFL 1004-Bahama,845D,Q05,Outlying,Bahama,,,,,720,1984,33,1,1,43544,,,1,1,0,684,13424,1,14,8800 Cassam Rd.
CALS Bull Shelter UFL 1006- Bahama,845F,Q07,Outlying,Bahama,,,,,720,1984,33,1,1,43544,,,1,1,0,684,13424,1,14,8800 Cassam Rd.
CALS Bull Shelter UFL 1008-Bahama,845H,Q09,Outlying,Bahama,,,,,720,1984,33,1,1,43544,,,1,1,0,684,13424,1,14,8800 Cassam Rd.
CALS Bull Shelter UFL 1010- Bahama,845K,Q11,Outlying,Bahama,,,,,720,1984,33,1,1,43544,,,1,1,0,684,13424,1,14,8800 Cassam Rd.
CALS Bull Shelter UFL 1072- Bahama,846Q,Q41,Outlying,Bahama,,,,,720,1984,33,1,1,43544,,,1,1,0,684,13424,1,14,8800 Cassam Rd.
CALS Bull Shelter UFL 1074- Bahama,846R,Q42,Outlying,Bahama,,,,,720,1985,32,1,1,43544,,,1,1,0,684,13424,1,14,8800 Cassam Rd.
CALS Bull Shelter UFL 1076- Bahama,846S,Q43,Outlying,Bahama,,,,,720,1985,32,1,1,43544,,,1,1,0,684,13424,1,14,8800 Cassam Rd.
CALS Bull Shelter UFL 1078- Bahama,846T,Q44,Outlying,Bahama,,,,,720,1985,32,1,1,43544,,,1,1,0,684,13424,1,14,8800 Cassam Rd.
CALS Calf Barn UFL 296-Lake Wheeler,813G,X83,Lake Wheeler Site,Raleigh,,,,,2128,1980,37,1,1,248140,3982,95,1,1,0,1943,44816,1,14,425 Dairy Lane
CALS Cattle Scale Shed - Reidsville,861D,D34,Outlying,Reidsville,,,,,240,1970,47,1,1,24675,,,4,1,0,228,300,1,14,1944 Wentworth Rd.
CALS Cattle Shed UFL 1035- Bahama,845Z,Q25,Outlying,Bahama,,,,,3000,1986,31,1,1,181436,,,1,1,0,2850,76143,1,14,8800 Cassam Rd.
CALS Cattle Shed UFL 10498- Bahama,846K,Q36,Outlying,Bahama,,,,,1379,1988,29,1,1,83399,,,1,1,0,1315,23800,1,14,8800 Cassam Rd.
CALS Cattle Shed UFL 1070- Bahama,846N,Q39,Outlying,Bahama,,,,,2560,1984,33,1,1,132992,,,1,1,0,2432,12465,1,14,8800 Cassam Rd.
CALS Cattle Shed UFL 107-Reedy Creek,820H,Y27,Reedy Creek,Raleigh,,,,,540,1991,26,1,1,32659,,,1,1,513,513,6000,1,14,2200 Trenton Rd.
CALS Central Office UFL 229-Lake Wheeler,811C,X29,Lake Wheeler Site,Raleigh,,,,,1452,1988,29,1,1,202291,,,1,6,850,874,48000,1,14,3720 Lake Wheeler Rd.
CALS Chem Storage- Fletcher,850X,Z24,Outlying,Fletcher,,,,,256,1987,30,1,1,26320,,,1,1,0,121,5760,1,14,2000 Fanning Bridge Rd.
CALS Classroom Building-Lake Wheeler,809Y,CB1,Lake Wheeler Site,Raleigh,809y.pdf,,,,1282,1999,18,1,1,244231,,,2,6,0,1280,192300,1,14,4009 Chi Rd.
CALS Cold Storage & Grading - Fletcher,850D,Z05,Outlying,Fletcher,,,,,3200,1969,48,1,1,329004,,,1,1,0,1966,5500,1,14,2000 Fanning Bridge Rd.
CALS Comfort Ctr-Peu UFL 2103-Lake Wheeler,813L,X87,Lake Wheeler Site,Raleigh,,,,,192,1986,31,1,1,12943,,,1,1,0,160,4608,1,14,4514 Broiler Rd.
CALS COMM STORAGE UF,822W,,,,,,,,316,1995,22,1,1,32488,,,1,1,0,300,5990,1,14,
CALS Commodity Barn- Lake Wheeler,825C,CB2,Lake Wheeler Site,Raleigh,825c.pdf,,,,3072,1999,18,1,1,187483,,,2,1,0,2927,95000,1,14,460 Dairy Lane
CALS Compost Shed- Fletcher,850V,Z22,Outlying,Fletcher,,,,,1260,1991,26,1,1,76202,,,1,1,1200,1200,13500,1,14,2000 Fanning Bridge Rd.
CALS Corn Genetics UFL 178-Reedy Creek,465H,RCH,Reedy Creek,Raleigh,465h.pdf,,,,5075,1985,32,1,1,566180,,,1,6,4874,4874,120000,1,14,4116 Reedy Creek Rd.
CALS Corral Shelter UFL 1033- Bahama,846V,Q46,Outlying,Bahama,,,,,3200,1995,22,1,1,193531,,,1,1,0,3040,25600,1,14,8800 Cassam Rd.
CALS Cow/Calf Barn UFL 1030- Bahama,845W,Q22,Outlying,Bahama,,,,,5000,1986,31,1,1,604786,,,1,1,4976,4976,126905,1,14,8800 Cassam Rd.
CALS Cow/Calf Icu UFL 1048- Bahama,846J,Q35,Outlying,Bahama,,,,,10968,1988,29,1,1,748869,,,1,4,10589,10589,418364,1,14,8800 Cassam Rd.
CALS Crop Drying UFL 172-Reedy Creek,465K,RCK,Reedy Creek,Raleigh,465k.pdf,,,,2501,1974,43,1,1,99286,,,2,1,0,1625,29952,1,14,4116 Reedy Creek Rd.
